Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Take A Look At Us Now - From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack","Javier Bardem","Lyle, Lyle, Crocodile (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USUM72218043","2YlKXlo0BOsNbS9wYJn1y3"
"Rip Up The Recipe - From the “Lyle Lyle Crocodile” Original Motion Picture Soundtrack","Shawn Mendes","Lyle, Lyle, Crocodile (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USUM72218051","2hFTy2L9ituW2FlpD9xuDT"
"Take A Look At Us Now - Reprise","Javier Bardem","Lyle, Lyle, Crocodile (Original Motion Picture Soundtrack)","My playlist :)","Playlist","USUM72218100","2TEyxw1QE6d0cRUnppLm2B"
"Stick Season","Noah Kahan","Stick Season","My playlist :)","Playlist","USUM72212470","0mflMxspEfB0VbI1kyLiAv"
"Dial Drunk (with Post Malone)","Noah Kahan","Dial Drunk (with Post Malone)","My playlist :)","Playlist","USUM72308676","22VHOlVYBqytsrAqV8yXBK"
"Bartender Song (Sittin' At A Bar) - Alt/Rock Mix","Rehab","Graffiti The World","My playlist :)","Playlist","USUM70816133","1gewemPOUilb21s7CfMS55"
"Best Day Of My Life","American Authors","Oh, What A Life","My playlist :)","Playlist","USUM71302187","5Hroj5K7vLpIG4FNCRIjbP"
"Wake Me Up","Avicii","True","My playlist :)","Playlist","SEUM71301326","0nrRP2bk19rLc0orkWPQk2"
"A Sky Full of Stars","Coldplay","Ghost Stories","My playlist :)","Playlist","GBAYE1400217","0FDzzruyVECATHXKHFs9eJ"
"Something Just Like This","The Chainsmokers","Memories...Do Not Open","My playlist :)","Playlist","USQX91700278","6RUKPb4LETWmmr3iAEQktW"
"I Bet My Life","Imagine Dragons","Smoke + Mirrors","My playlist :)","Playlist","USUM71415785","15DrrIod12Tc2IoMaHiwlQ"
"Beautiful People (feat. Khalid)","Ed Sheeran","No.6 Collaborations Project","My playlist :)","Playlist","GBAHS1900885","70eFcWOvlMObDhURTqT4Fv"
"Galway Girl","Ed Sheeran","÷ (Deluxe)","My playlist :)","Playlist","GBAHS1700026","0afhq8XCExXpqazXczTSve"
"Silence","Marshmello","Silence","My playlist :)","Playlist","USRC11701901","7vGuf3Y35N4wmASOKLUVVU"
"Happier","Marshmello","Happier","My playlist :)","Playlist","USUG11801651","7BqHUALzNBTanL6OvsqmC1"
"Mr. Brightside","The Killers","Hot Fuss","My playlist :)","Playlist","USIR20400274","003vvx7Niy0yvhvHt4a68B"
"Cake By The Ocean","DNCE","DNCE","My playlist :)","Playlist","USUM71514637","76hfruVvmfQbw0eYn1nmeC"
"I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack","Taron Egerton","Sing (Original Motion Picture Soundtrack / Deluxe)","My playlist :)","Playlist","USQ4E1602400","0mb7btREdC3wuIUmuVRgWn"
"All Star","Smash Mouth","Astro Lounge","My playlist :)","Playlist","USIR19902220","3cfOd4CMv2snFaKAnMdnvK"
"As It Was","Harry Styles","Harry's House","My playlist :)","Playlist","USSM12200612","4Dvkj6JhhA12EX05fT7y2e"
"Let You Down","NF","Perception","My playlist :)","Playlist","USUM71708226","52okn5MNA47tk87PeZJLEL"
"World's Smallest Violin","AJR","OK ORCHESTRA","My playlist :)","Playlist","QMRSZ2003324","2GujK1FWxxOZ118PaWNgbZ"
"Sunroof","Nicky Youre","Good Times Go","My playlist :)","Playlist","USQX92202129","5YqEzk3C5c3UZ1D5fJUlXA"
"Maps","Maroon 5","V","My playlist :)","Playlist","USUM71407116","4gbVRS8gloEluzf0GzDOFc"
"Eyes Closed (feat. J Balvin)","Imagine Dragons","Eyes Closed (feat. J Balvin)","My playlist :)","Playlist","USUM72404023","78EfhCsgEi8cEJXib3BFqL"
"Don't Stop Believin' (2022 Remaster)","Journey","Escape (2022 Remaster)","My playlist :)","Playlist","USSM18100116","5RKQ5NdjSh2QzD4MaunT91"
"Marry You","Bruno Mars","Doo-Wops & Hooligans","My playlist :)","Playlist","USAT21001887","22PMfvdz35fFKYnJyMn077"
"West Coast","Imagine Dragons","Origins (Deluxe)","My playlist :)","Playlist","USUM71816162","2nkoWsTZa8LKPNGdjI5uxj"
"We Are Young (feat. Janelle Monáe)","fun.","Some Nights","My playlist :)","Playlist","USAT21101399","7a86XRg84qjasly9f6bPSD"
"My House","Flo Rida","My House","My playlist :)","Playlist","USAT21500384","6Knv6wdA0luoMUuuoYi2i1"
"Shallow","Lady Gaga","A Star Is Born Soundtrack","My playlist :)","Playlist","USUM71813192","2VxeLyX666F8uXCJ0dZF8B"
"Sweet Caroline","Neil Diamond","Sweet Caroline","My playlist :)","Playlist","USMC16991138","62AuGbAkt8Ox2IrFFb8GKV"
"Happy - From ""Despicable Me 2""","Pharrell Williams","G I R L","My playlist :)","Playlist","USQ4E1300686","60nZcImufyMA1MKQY3dcCH"
"Mercy","Shawn Mendes","Illuminate (Deluxe)","My playlist :)","Playlist","USUM71603531","0AS63m1wHv9n4VVRizK6Hc"
"Power Over Me","Dermot Kennedy","Dermot Kennedy","My playlist :)","Playlist","USUG11802208","3CNLrZJST54nE4PUkS83Sl"
"Somebody Told Me","The Killers","Hot Fuss","My playlist :)","Playlist","USIR20400195","6PwjJ58I4t7Mae9xfZ9l9v"
"Poker Face","Lady Gaga","The Fame","My playlist :)","Playlist","USUM70824409","5R8dQOPq8haW94K7mgERlO"
"Hips Don't Lie (feat. Wyclef Jean)","Shakira","Oral Fixation, Vol. 2 (Expanded Edition)","My playlist :)","Playlist","USSM10600677","3ZFTkvIE7kyPt6Nu3PEa7V"
"West Coast","OneRepublic","West Coast","My playlist :)","Playlist","USUM72202540","0sBJA2OCEECMs0HsdIQhvR"
"Heat Waves","Glass Animals","Dreamland","My playlist :)","Playlist","GBUM72000433","3USxtqRwSYz57Ewm6wWRMp"
"Girls Like You (feat. Cardi B) - Cardi B Version","Maroon 5","Red Pill Blues (Deluxe)","My playlist :)","Playlist","USUM71805272","6V1bu6o1Yo5ZXnsCJU8Ovk"
"Story of My Life","One Direction","Midnight Memories (Deluxe)","My playlist :)","Playlist","GBHMU1300210","4nVBt6MZDDP6tRVdQTgxJg"
"Shape of You","Ed Sheeran","÷ (Deluxe)","My playlist :)","Playlist","GBAHS1600463","7qiZfU4dY1lWllzX7mPBI3"
"Rescue Me","OneRepublic","Human (Deluxe)","My playlist :)","Playlist","USUM71907507","37LNNQNbL1YLyutBG6aWRx"
"I Don't Care (with Justin Bieber)","Ed Sheeran & Justin Bieber","No.6 Collaborations Project","My playlist :)","Playlist","GBAHS1900672","0hVXuCcriWRGvwMV1r5Yn9"
"Whistle","Flo Rida","Wild Ones","My playlist :)","Playlist","USAT21201745","3bC1ahPIYt1btJzSSEyyrF"
"Paris","The Chainsmokers","Memories...Do Not Open","My playlist :)","Playlist","USQX91603031","72jbDTw1piOOj770jWNeaG"
"Glorious (feat. Skylar Grey)","Macklemore","GEMINI","My playlist :)","Playlist","QZ8TY1700001","0CokSRCu5hZgPxcZBaEzVE"
"I’m So Sorry","Imagine Dragons","Smoke + Mirrors","My playlist :)","Playlist","USUM71417931","4o74y4XY1ypNZkZtZkK8Wi"
"Zero - From the Original Motion Picture ""Ralph Breaks The Internet""","Imagine Dragons","Origins (Deluxe)","My playlist :)","Playlist","USWD11890242","2bzitsPcImYC6DZWvvLCQi"
"Walking The Wire","Imagine Dragons","Evolve","My playlist :)","Playlist","USUM71704648","1y3bE5i57eUm3hfLAc7h08"
"Warriors","Imagine Dragons","Smoke + Mirrors (Deluxe)","My playlist :)","Playlist","USUM71414163","1lgN0A2Vki2FTON5PYq42m"
"Rise Up","Imagine Dragons","Evolve","My playlist :)","Playlist","USUM71704659","3zT2616WcD9Df5m21OsCX0"
"Don't Wanna Know (feat. Kendrick Lamar)","Maroon 5","Red Pill Blues (Deluxe)","My playlist :)","Playlist","USUM71609975","1nueTG77MzNkJTKQ0ZdGzT"
"Good Life","OneRepublic","Waking Up","My playlist :)","Playlist","USUM70999110","6OtCIsQZ64Vs1EbzztvAv4"
"I Will Wait","Mumford & Sons","Babel (Deluxe Version)","My playlist :)","Playlist","GBUM71204769","3Bclyko7WmwM2oGmKj8sue"
"Daylight","Shinedown","Daylight","My playlist :)","Playlist","USAT22108493","6LleMnUceskUsmszoOlODl"
"Austin (Boots Stop Workin')","Dasha","What Happens Now?","My playlist :)","Playlist","QZTB92360479","2uqYupMHANxnwgeiXTZXzd"
"The Greatest Show","Hugh Jackman","The Greatest Show","My playlist :)","Playlist","USAT21704616","43ay9lQZ5rfNcOOHhRF2cM"
"Little Talks","Of Monsters and Men","My Head Is An Animal","My playlist :)","Playlist","USUM71119106","2ihCaVdNZmnHZWt0fvAM7B"
"Me And My Broken Heart","Rixton","Let The Road","My playlist :)","Playlist","USUM71401800","1oew3nFNY3vMacJAsvry0S"
"50 Ways to Say Goodbye","Train","California 37","My playlist :)","Playlist","USSM11201533","2NniAhAtkRACaMeYt48xlD"
"Ghost","Justin Bieber","Justice","My playlist :)","Playlist","USUM72102635","6I3mqTwhRpn34SLVafSH7G"
"Sober Up - feat. Rivers Cuomo","AJR","The Click","My playlist :)","Playlist","QMRSZ1701240","5tf8NV1rHghYymjIqeKMus"
